sample_id,doi,report_family,plot_family,emission_peak_nm,record_type
HUA19_YAGG_X000,10.1007/s40145-019-0321-9,YAG,YAG,565.0,sample
HUA19_YAGG_X100,10.1007/s40145-019-0321-9,YAGG,YAGG,550.0,sample
HUA19_YAGG_X200,10.1007/s40145-019-0321-9,YAGG,YAGG,540.0,sample
HUA19_YAGG_X300,10.1007/s40145-019-0321-9,YAGG,YAGG,525.0,sample
HUA19_YAGG_X400,10.1007/s40145-019-0321-9,YAGG,YAGG,515.0,sample
HUA23_LUYAG_X020,10.37188/CJL.20220435,"(Lu,Y)AG",Other garnets,571.0,sample
HUA23_LUYAG_X040,10.37188/CJL.20220435,"(Lu,Y)AG",Other garnets,569.0,sample
HUA23_LUYAG_X060,10.37188/CJL.20220435,"(Lu,Y)AG",Other garnets,568.0,sample
HUA23_LUYAG_X080,10.37188/CJL.20220435,"(Lu,Y)AG",Other garnets,565.0,sample
HUA23_LUYAG_X0999,10.37188/CJL.20220435,LuAG,LuAG,563.0,sample
ZHO22_LUAG_BASE,10.37188/CJL.20220248,LuAG,LuAG,536.0,sample
ZHO22_GA_X050,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,525.0,sample
ZHO22_GA_X075,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,522.0,sample
ZHO22_GA_X100,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,518.0,sample
ZHO22_GA_X125,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,515.0,sample
ZHO22_GA_X150,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,510.0,sample
ZHO22_GA_X200,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,506.0,sample
ZHO22_SC_X050,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,525.0,sample
ZHO22_SC_X075,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,520.0,sample
ZHO22_SC_X100,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,518.0,sample
ZHO22_SC_X125,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,518.0,sample
HU16_CE005_T040,10.1016/j.ceramint.2016.01.079,YAG,YAG,548.0,sample
HU16_CE010_T040,10.1016/j.ceramint.2016.01.079,YAG,YAG,551.0,sample
HU16_CE020_T040,10.1016/j.ceramint.2016.01.079,YAG,YAG,554.0,sample
HU16_CE050_T040,10.1016/j.ceramint.2016.01.079,YAG,YAG,559.0,sample
HU16_CE070_T040,10.1016/j.ceramint.2016.01.079,YAG,YAG,565.0,sample
HU16_CE100_T040,10.1016/j.ceramint.2016.01.079,YAG,YAG,573.0,sample
HU16_CE010_T025,10.1016/j.ceramint.2016.01.079,YAG,YAG,548.0,sample
HU16_CE010_T050,10.1016/j.ceramint.2016.01.079,YAG,YAG,551.0,sample
HU16_CE010_T070,10.1016/j.ceramint.2016.01.079,YAG,YAG,552.0,sample
HU16_CE010_T100,10.1016/j.ceramint.2016.01.079,YAG,YAG,553.0,sample
SHA19_GD00,10.1016/j.ceramint.2019.04.162,YAG,YAG,525.0,sample
SHA19_GD06,10.1016/j.ceramint.2019.04.162,"(Y,Gd)AG","(Y,Gd)AG",528.0,sample
SHA19_GD12,10.1016/j.ceramint.2019.04.162,"(Y,Gd)AG","(Y,Gd)AG",531.0,sample
SHA19_GD18,10.1016/j.ceramint.2019.04.162,"(Y,Gd)AG","(Y,Gd)AG",534.0,sample
SHA19_GD24,10.1016/j.ceramint.2019.04.162,"(Y,Gd)AG","(Y,Gd)AG",537.0,sample
SHA19_GD30,10.1016/j.ceramint.2019.04.162,"(Y,Gd)AG","(Y,Gd)AG",540.0,sample
LI21_CE020_A000,10.1016/j.jeurceramsoc.2021.03.022,YAG,YAG,543.0,sample
LI21_CE040_A000,10.1016/j.jeurceramsoc.2021.03.022,YAG,YAG,547.0,sample
LI21_CE060_A000,10.1016/j.jeurceramsoc.2021.03.022,YAG,YAG,552.0,sample
LI21_CE080_A000,10.1016/j.jeurceramsoc.2021.03.022,YAG,YAG,555.0,sample
