record_type,sample_id,doi,report_family,plot_family,PC1,PC2,point_size,feature,component,value
pca_score,HUA19_YAGG_X000,10.1007/s40145-019-0321-9,YAG,YAG,1.1781667674361145,-2.488043960009563,26.521980673998822,,,
pca_score,HUA19_YAGG_X100,10.1007/s40145-019-0321-9,YAGG,YAGG,0.33931314343522073,-0.36844218477878166,26.521980673998822,,,
pca_score,HUA19_YAGG_X200,10.1007/s40145-019-0321-9,YAGG,YAGG,-0.08749042724904257,1.3980044173414834,26.521980673998822,,,
pca_score,HUA19_YAGG_X300,10.1007/s40145-019-0321-9,YAGG,YAGG,-0.4579906886064182,3.06870804347671,26.521980673998822,,,
pca_score,HUA19_YAGG_X400,10.1007/s40145-019-0321-9,YAGG,YAGG,-0.7581993850687999,4.626679014335423,26.521980673998822,,,
pca_score,HUA23_LUYAG_X020,10.37188/CJL.20220435,"(Lu,Y)AG",Other garnets,1.7880667850194465,-1.6023161298967596,26.521980673998822,,,
pca_score,HUA23_LUYAG_X040,10.37188/CJL.20220435,"(Lu,Y)AG",Other garnets,2.058097088023249,-0.7638540852149767,26.521980673998822,,,
pca_score,HUA23_LUYAG_X060,10.37188/CJL.20220435,"(Lu,Y)AG",Other garnets,2.3013246562888563,0.0349453745733361,26.521980673998822,,,
pca_score,HUA23_LUYAG_X080,10.37188/CJL.20220435,"(Lu,Y)AG",Other garnets,2.51783051857162,0.7945732660193061,26.521980673998822,,,
pca_score,HUA23_LUYAG_X0999,10.37188/CJL.20220435,LuAG,LuAG,2.681516470032252,1.4322396532886044,26.521980673998822,,,
pca_score,ZHO22_LUAG_BASE,10.37188/CJL.20220248,LuAG,LuAG,2.3221533138493675,1.557851877790157,22.44231764817738,,,
pca_score,ZHO22_GA_X050,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,1.769786700947931,2.503719347699442,22.44231764817738,,,
pca_score,ZHO22_GA_X075,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,1.5848613190053153,2.964528824242686,22.44231764817738,,,
pca_score,ZHO22_GA_X100,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,1.4224142393484909,3.40599089671668,22.44231764817738,,,
pca_score,ZHO22_GA_X125,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,1.2759714157191564,3.8333904883180905,22.44231764817738,,,
pca_score,ZHO22_GA_X150,10.37188/CJL.20220248,LuAG solid solution,LuAG solid solution,1.1422104958152075,4.24947928299933,22.44231764817738,,,
