sample_id,host_family,core,field,available,record_type,available_records,available_fraction,stage,qualified_samples
SUN20_GDLUGAG_LU35,"(Gd,Lu)AG",True,Composition,True,sample_field,,,,
HUA23_LUYAG_X020,"(Lu,Y)AG",True,Composition,True,sample_field,,,,
HUA23_LUYAG_X040,"(Lu,Y)AG",True,Composition,True,sample_field,,,,
HUA23_LUYAG_X060,"(Lu,Y)AG",True,Composition,True,sample_field,,,,
HUA23_LUYAG_X080,"(Lu,Y)AG",True,Composition,True,sample_field,,,,
HU15_GD10,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
HU15_GD30,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
HU15_GD40,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
HU15_GD50,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
HU15_GD60,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
HU15_GD70,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
HU15_GD80,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
LIU19_GDYAG_GD00,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
LIU19_GDYAG_GD10,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
LIU19_GDYAG_GD20,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
LIU19_GDYAG_GD30,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
SHA19_GD06,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
SHA19_GD12,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
SHA19_GD18,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
SHA19_GD24,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
SHA19_GD30,"(Y,Gd)AG",True,Composition,True,sample_field,,,,
LI24_CSS_CE08,CSS,True,Composition,True,sample_field,,,,
LI24_CSS_CE02,CSS,True,Composition,True,sample_field,,,,
LI24_CSS_CE04,CSS,True,Composition,True,sample_field,,,,
LI24_CSS_CE06,CSS,True,Composition,True,sample_field,,,,
LI24_CSS_CE10,CSS,True,Composition,True,sample_field,,,,
