汇报家族,建模细分家族,核心样品数,总库同标签样品数,精确host化学式数,独立DOI数,独立连续系列数,PL最小值_nm,PL中位数_nm,PL最大值_nm,严格PL/PLE对子数,晶格覆盖数,A-O覆盖数,AO8体积覆盖数,畸变指数覆盖数,已处理DOI,待下载论文数,候选DOI,当前等级,优先路线,目标样品数,目标DOI数,目标连续系列数,样品缺口,DOI缺口,连续系列缺口,数据库版本,最后核验日期,record_type,family,doi,sample_rows,families
"(Gd,Lu)AG","(Gd,Lu)AG",1.0,1.0,1.0,1.0,1.0,580.0,580.0,580.0,1.0,1.0,0.0,0.0,0.0,10.1111/jace.16776,0.0,,D｜稀疏,覆盖补强,5.0,2.0,1.0,4.0,1.0,0.0,v8_20260725,2026-08-22,family,,,,
GGAG,Gd-Al-Ga石榴石,1.0,10.0,1.0,1.0,1.0,550.0,550.0,550.0,0.0,0.0,0.0,0.0,0.0,10.1016/j.ceramint.2019.08.025,0.0,,D｜稀疏,覆盖补强,5.0,2.0,1.0,4.0,1.0,0.0,v8_20260725,2026-08-22,family,,,,
Gd-Y-ScAG,Gd-Y-ScAG,1.0,4.0,1.0,1.0,1.0,586.0,586.0,586.0,1.0,1.0,1.0,0.0,1.0,10.1364/OE.417464,1.0,10.1016/j.ceramint.2022.09.171,D｜稀疏,覆盖补强,5.0,2.0,1.0,4.0,1.0,0.0,v8_20260725,2026-08-22,family,,,,
Y3Al5O12,YAG,1.0,27.0,1.0,1.0,1.0,530.0,530.0,530.0,1.0,1.0,1.0,1.0,1.0,10.1016/j.optmat.2010.06.005,0.0,,D｜稀疏,覆盖补强,5.0,2.0,1.0,4.0,1.0,0.0,v8_20260725,2026-08-22,family,,,,
YAMSG,YAG；YAMSG,2.0,4.0,2.0,1.0,1.0,533.0,543.0,553.0,2.0,1.0,2.0,1.0,2.0,10.1039/C8TC03866J,1.0,10.1016/j.jre.2022.04.029,D｜稀疏,覆盖补强,5.0,2.0,1.0,3.0,1.0,0.0,v8_20260725,2026-08-22,family,,,,
YSGG,YSGG,2.0,2.0,1.0,1.0,1.0,500.0,500.0,500.0,2.0,0.0,0.0,0.0,0.0,10.1143/APEX.4.042602,0.0,,D｜稀疏,覆盖补强,5.0,2.0,1.0,3.0,1.0,0.0,v8_20260725,2026-08-22,family,,,,
GLMS,GLMS,3.0,3.0,3.0,1.0,1.0,563.0,572.0,575.0,0.0,3.0,0.0,0.0,0.0,10.1016/j.jeurceramsoc.2020.03.019,1.0,10.1111/jace.70737,D｜稀疏,覆盖补强,5.0,2.0,1.0,2.0,1.0,0.0,v8_20260725,2026-08-22,family,,,,
"(Lu,Y)AG",Y-Lu固溶石榴石,4.0,4.0,4.0,1.0,1.0,565.0,568.5,571.0,4.0,0.0,0.0,0.0,0.0,10.37188/CJL.20220435,0.0,,C｜薄弱,主力补齐,15.0,3.0,3.0,11.0,2.0,2.0,v8_20260725,2026-08-22,family,,,,
LuYSAG,LuYSAG,4.0,7.0,4.0,1.0,4.0,534.0,539.5,543.0,4.0,4.0,4.0,0.0,4.0,10.1039/D0TC04231E,0.0,,C｜薄弱,覆盖补强,5.0,2.0,1.0,1.0,1.0,0.0,v8_20260725,2026-08-22,family,,,,
GSAG,GSAG,5.0,5.0,1.0,1.0,1.0,577.0,580.0,583.0,5.0,5.0,5.0,0.0,5.0,10.1364/OE.417464,0.0,,C｜薄弱,覆盖补强,5.0,2.0,1.0,0.0,1.0,0.0,v8_20260725,2026-08-22,family,,,,
CSS,CSS,6.0,6.0,1.0,1.0,1.0,507.0,509.5,512.0,6.0,6.0,6.0,6.0,6.0,10.1016/j.ceramint.2024.04.274,1.0,10.26599/JAC.2023.9220782,C｜薄弱,覆盖补强,5.0,2.0,1.0,0.0,1.0,0.0,v8_20260725,2026-08-22,family,,,,
LuGdAG,LuGdAG,8.0,10.0,4.0,1.0,1.0,513.0,550.5,555.0,0.0,8.0,0.0,0.0,1.0,10.1016/j.jeurceramsoc.2024.04.014,1.0,10.1111/jace.20497,C｜薄弱,主力补齐,15.0,3.0,3.0,7.0,2.0,2.0,v8_20260725,2026-08-22,family,,,,
LuAG solid solution,Lu基固溶石榴石,10.0,12.0,10.0,1.0,2.0,506.0,518.0,525.0,0.0,10.0,0.0,0.0,0.0,10.37188/CJL.20220248,1.0,10.1016/j.jlumin.2025.121115,C｜薄弱,覆盖补强,5.0,2.0,1.0,0.0,1.0,0.0,v8_20260725,2026-08-22,family,,,,
LuAGG,Lu-Al-Ga石榴石,6.0,6.0,6.0,2.0,2.0,500.0,512.0,520.0,1.0,5.0,0.0,0.0,0.0,10.1016/j.ceramint.2026.03.410；10.2109/jcersj2.15239,1.0,10.1016/j.jlumin.2025.121115,C｜薄弱,主力补齐,15.0,3.0,3.0,9.0,1.0,1.0,v8_20260725,2026-08-22,family,,,,
GAGG,Gd-Al-Ga石榴石,7.0,11.0,3.0,3.0,3.0,549.0,564.0,574.0,7.0,6.0,0.0,0.0,0.0,10.1016/j.jeurceramsoc.2017.05.024；10.1021/acsami.9b02703；10.2109/jcersj2.15239,0.0,,C｜薄弱,主力补齐,15.0,3.0,3.0,8.0,0.0,0.0,v8_20260725,2026-08-22,family,,,,
YAGG,Y-Al-Ga石榴石,7.0,10.0,5.0,3.0,3.0,515.0,525.0,550.0,1.0,7.0,6.0,6.0,6.0,10.1007/s40145-019-0321-9；10.1016/j.jallcom.2021.161687；10.2109/jcersj2.15239,0.0,,C｜薄弱,主力补齐,15.0,3.0,3.0,8.0,0.0,0.0,v8_20260725,2026-08-22,family,,,,
"(Y,Gd)AG",Y-Gd固溶石榴石,16.0,18.0,13.0,3.0,9.0,528.0,542.0,575.0,4.0,11.0,1.0,1.0,1.0,10.1016/j.ceramint.2019.04.162；10.1016/j.optmat.2018.11.031；10.1364/OME.5.002902,0.0,,A｜主力家族,主力补齐,15.0,3.0,3.0,0.0,0.0,0.0,v8_20260725,2026-08-22,family,,,,
LuAG,LuAG,14.0,16.0,2.0,4.0,4.0,515.0,552.5,563.0,2.0,13.0,13.0,13.0,13.0,10.1016/j.optmat.2023.114697；10.1111/jace.14461；10.37188/CJL.20220248；10.37188/CJL.20220435,0.0,,B｜可训练,主力补齐,15.0,3.0,3.0,1.0,0.0,0.0,v8_20260725,2026-08-22,family,,,,
YAG,YAG,34.0,77.0,3.0,10.0,10.0,525.0,551.5,573.0,12.0,34.0,33.0,32.0,33.0,10.1007/s40145-019-0321-9；10.1016/j.ceramint.2016.01.079；10.1016/j.ceramint.2017.04.047；10.1016/j.ceramint.2019.04.162；10.1016/j.jallcom.2021.161687；10.1016/j.jeurceramsoc.2021.03.022；10.1111/jace.14461；10.1364/OE.417464；10.1364/OME.5.002902；10.1557/jmr.2014.229,0.0,,A｜主力家族,主力补齐,15.0,3.0,3.0,0.0,0.0,0.0,v8_20260725,2026-08-22,family,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Gd,Lu)AG",10.1016/j.jeurceramsoc.2021.03.022,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Gd,Lu)AG",10.37188/CJL.20220248,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Gd,Lu)AG",10.1016/j.optmat.2023.114697,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Gd,Lu)AG",10.1016/j.ceramint.2016.01.079,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Gd,Lu)AG",10.1364/OME.5.002902,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Gd,Lu)AG",10.1016/j.jeurceramsoc.2024.04.014,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Gd,Lu)AG",10.1364/OE.417464,0.0,
