source,target,n,record_type,variable_a,variable_b,column_a,column_b,spearman_r,model,ready,total
Composition,M0,255.0,network,,,,,,,,
Composition,M1,255.0,network,,,,,,,,
Site occupancy,M1,245.0,network,,,,,,,,
Site occupancy,M2,245.0,network,,,,,,,,
PL / PLE,M2,73.0,network,,,,,,,,
PL / PLE,M3,53.0,network,,,,,,,,
PL / PLE,M5,170.0,network,,,,,,,,
Crystal structure,M1,32.0,network,,,,,,,,
Crystal structure,M2,32.0,network,,,,,,,,
Crystal structure,M3,32.0,network,,,,,,,,
Ceramic process,M5,255.0,network,,,,,,,,
Physical descriptors,M0,131.0,network,,,,,,,,
Physical descriptors,M2,132.0,network,,,,,,,,
Physical descriptors,M3,132.0,network,,,,,,,,
Source provenance,M0,255.0,network,,,,,,,,
Source provenance,M1,255.0,network,,,,,,,,
Source provenance,M2,255.0,network,,,,,,,,
Source provenance,M3,255.0,network,,,,,,,,
Source provenance,M5,255.0,network,,,,,,,,
,,132.0,correlation,Ce(A),Ce(A),A_Ce_fraction,A_Ce_fraction,1.0,,,
,,132.0,correlation,Ce(A),Ga(B/C),A_Ce_fraction,BC_Ga_fraction,0.22895354397051423,,,
,,132.0,correlation,Ce(A),Al(B/C),A_Ce_fraction,BC_Al_fraction,-0.5019795923985563,,,
,,132.0,correlation,Ce(A),Sc(B),A_Ce_fraction,BC_Sc_fraction,0.35900305503524554,,,
,,97.0,correlation,Ce(A),Lattice a,A_Ce_fraction,lattice_a_angstrom,0.3478912299367075,,,
,,54.0,correlation,Ce(A),A–O,A_Ce_fraction,a_o_bond_mean_angstrom,0.3514183694958396,,,
,,42.0,correlation,Ce(A),AO8 volume,A_Ce_fraction,a_o_polyhedron_volume_a3,0.4171175690795665,,,
,,52.0,correlation,Ce(A),Distortion,A_Ce_fraction,bond_distortion_index,0.2749217068642307,,,
,,54.0,correlation,Ce(A),5d1 energy,A_Ce_fraction,excitation_5d1_ev,0.24646501431230794,,,
,,132.0,correlation,Ce(A),Emission,A_Ce_fraction,emission_peak_nm,-0.02784604301947726,,,
,,53.0,correlation,Ce(A),Stokes,A_Ce_fraction,stokes_shift_ev,-0.020050280889766074,,,
,,111.0,correlation,Ce(A),Sintering T,A_Ce_fraction,sintering_temperature_c,-0.5441589478990164,,,
,,116.0,correlation,Ce(A),Thickness,A_Ce_fraction,sample_thickness_mm,0.06196625072699218,,,
,,46.0,correlation,Ce(A),Grain size,A_Ce_fraction,grain_size_um,-0.04748208454626297,,,
,,132.0,correlation,Ga(B/C),Ce(A),BC_Ga_fraction,A_Ce_fraction,0.22895354397051426,,,
,,132.0,correlation,Ga(B/C),Ga(B/C),BC_Ga_fraction,BC_Ga_fraction,1.0,,,
,,132.0,correlation,Ga(B/C),Al(B/C),BC_Ga_fraction,BC_Al_fraction,-0.6352411849680651,,,
,,132.0,correlation,Ga(B/C),Sc(B),BC_Ga_fraction,BC_Sc_fraction,-0.11345281487067543,,,
,,97.0,correlation,Ga(B/C),Lattice a,BC_Ga_fraction,lattice_a_angstrom,0.1376078783483289,,,
,,54.0,correlation,Ga(B/C),A–O,BC_Ga_fraction,a_o_bond_mean_angstrom,0.12905023200008542,,,
,,42.0,correlation,Ga(B/C),AO8 volume,BC_Ga_fraction,a_o_polyhedron_volume_a3,0.450480346501675,,,
,,52.0,correlation,Ga(B/C),Distortion,BC_Ga_fraction,bond_distortion_index,0.0010285921751405655,,,
,,54.0,correlation,Ga(B/C),5d1 energy,BC_Ga_fraction,excitation_5d1_ev,0.16498425593337268,,,
,,132.0,correlation,Ga(B/C),Emission,BC_Ga_fraction,emission_peak_nm,-0.3337451119748286,,,
,,53.0,correlation,Ga(B/C),Stokes,BC_Ga_fraction,stokes_shift_ev,-0.08255279530548079,,,
,,111.0,correlation,Ga(B/C),Sintering T,BC_Ga_fraction,sintering_temperature_c,-0.5592528561075842,,,
,,116.0,correlation,Ga(B/C),Thickness,BC_Ga_fraction,sample_thickness_mm,0.3234510394097556,,,
,,46.0,correlation,Ga(B/C),Grain size,BC_Ga_fraction,grain_size_um,0.08598899510155794,,,
,,132.0,correlation,Al(B/C),Ce(A),BC_Al_fraction,A_Ce_fraction,-0.5019795923985562,,,
,,132.0,correlation,Al(B/C),Ga(B/C),BC_Al_fraction,BC_Ga_fraction,-0.6352411849680651,,,
,,132.0,correlation,Al(B/C),Al(B/C),BC_Al_fraction,BC_Al_fraction,1.0,,,
,,132.0,correlation,Al(B/C),Sc(B),BC_Al_fraction,BC_Sc_fraction,-0.6322366982255861,,,
,,97.0,correlation,Al(B/C),Lattice a,BC_Al_fraction,lattice_a_angstrom,-0.6743014220100931,,,
,,54.0,correlation,Al(B/C),A–O,BC_Al_fraction,a_o_bond_mean_angstrom,-0.8784313619690627,,,
,,42.0,correlation,Al(B/C),AO8 volume,BC_Al_fraction,a_o_polyhedron_volume_a3,-0.9627953994157935,,,
,,52.0,correlation,Al(B/C),Distortion,BC_Al_fraction,bond_distortion_index,-0.1803187563312926,,,
,,54.0,correlation,Al(B/C),5d1 energy,BC_Al_fraction,excitation_5d1_ev,-0.5167884589746666,,,
,,132.0,correlation,Al(B/C),Emission,BC_Al_fraction,emission_peak_nm,0.36250401821543465,,,
,,53.0,correlation,Al(B/C),Stokes,BC_Al_fraction,stokes_shift_ev,0.2635293055632327,,,
,,111.0,correlation,Al(B/C),Sintering T,BC_Al_fraction,sintering_temperature_c,0.7253901299116626,,,
,,116.0,correlation,Al(B/C),Thickness,BC_Al_fraction,sample_thickness_mm,-0.3855115389188625,,,
,,46.0,correlation,Al(B/C),Grain size,BC_Al_fraction,grain_size_um,0.027799330155410768,,,
,,132.0,correlation,Sc(B),Ce(A),BC_Sc_fraction,A_Ce_fraction,0.35900305503524554,,,
,,132.0,correlation,Sc(B),Ga(B/C),BC_Sc_fraction,BC_Ga_fraction,-0.11345281487067543,,,
